place,id,title,author,snbn,format,genre
Tijuana-Luis Fimbres Moreno,37495,Las Veinticuatro tesis Tomistas,"Hugon, Eduardo",AC75 H84 1974,AC,obras generales
Tijuana-Luis Fimbres Moreno,37748,Leyes económicas y planificación socialista,"Kadishev, L.A.",AC75 K33 1969,AC,obras generales
Tijuana-Luis Fimbres Moreno,38142,Cómo asistir a una conferencia,"Sullivan, Dorothea F.",AS6 S8518 1975,AC,autoayuda
Tijuana-Luis Fimbres Moreno,37484,"Etica nicomaquea, política",Aristóteles,B 430. E8 G75 1972,AC,filosofia
Tijuana-Luis Fimbres Moreno,37343,Mi punto de vista,"Kierkegaard, Soren Aabye",B 4373 K54 1972,AC,filosofia
Tijuana-Luis Fimbres Moreno,37509,Estudios de la historia de la filosofía en México,NA,B1016 E88 1963,AC,filosofia
Tijuana-Luis Fimbres Moreno,37356,"El Positivismo en México; nacimiento, apogeo y decadencia","Zea, Leopoldo",B1018.P6 Z43 1968,AC,filosofia
Tijuana-Luis Fimbres Moreno,37472,Confucio y el humanismo chino,"Do-Dinh, Pierre",B128.C8 D6 1960,AC,filosofia
Tijuana-Luis Fimbres Moreno,37319,Principios del conocimiento humano,"Berkeley, George",B1333 B47 1974,AC,filosofia
Tijuana-Luis Fimbres Moreno,37390,Ensayo de una nueva teoría de la visión,"Berkeley, George",B1338.E8 B47 1965,AC,psicologia
Tijuana-Luis Fimbres Moreno,37320,Del conocimiento,"Hume, David",B1455.H818 C66 1973,AC,filasofia
Tijuana-Luis Fimbres Moreno,37321,Resumen del tratado de la naturaleza humana,"Hume, David",B1485 H86 1973,AC,antropologia
Tijuana-Luis Fimbres Moreno,37510,Diálogos sobre la religión natural,"Hume, David",B1493 H86 1973,AC,filosofia
Tijuana-Luis Fimbres Moreno,37466,El Utilitarismo,"Mill, John Stuart",B1603.U85 S78 1980,AC,filosofia
Tijuana-Luis Fimbres Moreno,37471,Ciencia y filosofía en la antiguedad,"Farrington, Benjamin",B1618 F37 1980,AC,filosofia
Tijuana-Luis Fimbres Moreno,37359,Misticismo y lógica y otros ensayos,"Russell, Bertrand",B1649.R87 M95 1975,AC,filosofia
Tijuana-Luis Fimbres Moreno,37505,Conocimiento y causa,"Russell, Bertrand",B1649.R93 R87 1967,AC,filosofia
Tijuana-Luis Fimbres Moreno,37500,La Filosofía del renacimiento,"Windelband, Wilhelm",B168 W56 1946,AC,filosofia
Tijuana-Luis Fimbres Moreno,37309,Meditaciones metafísicas,"Descartes, Rene",B1858.E8 D47 1973,AC,filosogia
Tijuana-Luis Fimbres Moreno,37487,Eneada cuarta,Plotino,B186 P729 1973,AC,filosofia
Tijuana-Luis Fimbres Moreno,37311,Reglas para la dirección de la mente,"Descartes, Rene",B1868.E8 D47 1974,AC,psicologia
Tijuana-Luis Fimbres Moreno,37328,Opusculos,"Pascal, Blaise",B1900.E8 P37 1956,AC,literatura
Tijuana-Luis Fimbres Moreno,37476,Fragmentos,Anaxagoras,B205.A4 E53 1962,AC,filosofia
Tijuana-Luis Fimbres Moreno,37355,Auguste Comte y el positivismo,"Mill, John Stuart",B2248 M55 1972,AC,filosofia
Tijuana-Luis Fimbres Moreno,37739,Estructuralismo y Marxismo,"Lefébvre, Henri",B2424.S75 E7818 1970,AC,ciencias politicas
Tijuana-Luis Fimbres Moreno,37344,Bergson,"Roy, Edouard Le.",B2430 R69 1928,AC,filosofia
Tijuana-Luis Fimbres Moreno,37498,La Filosofía en sus texto III; de charles sanders pierce a francisco romero,"Marías, Julián",B25 M37 1963,AC,filosofia
Tijuana-Luis Fimbres Moreno,37508,Filósofos alemanes; de Eckhart a Heidegger,"Friedrich Sauer, Ernst",B2523 S75 1973,AC,filosofia
Tijuana-Luis Fimbres Moreno,37312,Monadologia,"Leibniz, Gottfried Wilhelm",B2580.E8 L45 1980,AC,psicologia
Tijuana-Luis Fimbres Moreno,37357,La Profesión de fe del filósofo,"Leibniz, Gottfried Wilhelm",B2584.E8 L45 1973,AC,filosofia
